Winner,Final Score Away,Final Score Home,Final Score Difference,Half Score Away,Half Score Home,Half Score Difference,Away FGA,Home FGA,Away FG,Home FG,Away 3PT,Home 3PT,Away EFG,Home EFG,Away Pos,Home Pos,Away TO,Home TO,Away TPP,Home TPP,Away OR,Home OR,Away DR,Home DR,Away ORP,Home ORP,Away DRP,Home DRP,Away DTPP,Home DTPP
Home,89,100,-11,47,46,1,40,42,18,18,6,3,0.525,0.4642857142857143,44,46,8,5,0.1818181818181818,0.108695652173913,4,3,21,21,0.1818181818181818,0.125,0.875,0.9545454545454546,0.1136363636363636,0.1739130434782608
Home,111,140,-29,51,65,-14,46,43,19,24,7,10,0.4891304347826087,0.6744186046511628,49,50,15,9,0.3061224489795918,0.18,11,4,16,18,0.4074074074074074,0.2105263157894736,0.8421052631578947,0.6666666666666666,0.1836734693877551,0.3
Home,109,113,-4,56,54,2,47,52,22,23,4,3,0.5106382978723404,0.4711538461538461,47,48,8,3,0.1702127659574468,0.0625,7,10,22,19,0.28,0.3448275862068966,0.7586206896551724,0.76,0.0638297872340425,0.1666666666666666
Away,115,108,7,61,47,14,44,41,22,16,8,9,0.5909090909090909,0.5,44,40,3,7,0.0681818181818181,0.175,8,4,22,15,0.3636363636363636,0.16,0.88,0.6818181818181818,0.1590909090909091,0.075
Away,121,120,1,67,58,9,45,51,23,24,10,4,0.6222222222222222,0.5098039215686274,53,50,9,9,0.1698113207547169,0.18,5,7,20,18,0.2272727272727272,0.2592592592592592,0.7407407407407407,0.8181818181818182,0.1698113207547169,0.18
Home,112,120,-8,63,72,-9,42,50,24,23,5,12,0.6309523809523809,0.58,44,43,4,5,0.0909090909090909,0.1162790697674418,5,12,17,15,0.2777777777777778,0.4444444444444444,0.6296296296296297,0.8333333333333334,0.1136363636363636,0.0930232558139534
Away,133,130,3,72,80,-8,43,44,22,28,6,11,0.5813953488372093,0.7613636363636364,48,47,7,11,0.1458333333333333,0.2340425531914893,7,10,13,19,0.3333333333333333,0.625,0.8125,0.9047619047619048,0.2291666666666666,0.1489361702127659
Away,117,97,20,57,42,15,47,45,23,14,8,5,0.574468085106383,0.3666666666666666,51,54,10,10,0.196078431372549,0.1851851851851851,4,5,27,22,0.1666666666666666,0.1612903225806451,0.8709677419354839,0.9166666666666666,0.196078431372549,0.1851851851851851
Away,123,119,4,60,51,9,47,45,23,18,6,7,0.5531914893617021,0.4777777777777778,49,47,7,6,0.1428571428571428,0.1276595744680851,9,3,25,18,0.375,0.1111111111111111,0.925925925925926,0.75,0.1224489795918367,0.1489361702127659
Away,136,103,33,71,55,16,44,51,28,22,7,6,0.7159090909090909,0.4901960784313725,50,48,9,11,0.18,0.2291666666666666,7,12,17,12,0.4375,0.4137931034482758,0.5862068965517241,0.75,0.22,0.1875
Away,90,87,3,52,46,6,39,43,19,17,6,4,0.5641025641025641,0.4418604651162791,41,42,6,8,0.1463414634146341,0.1904761904761904,6,12,18,18,0.3,0.4615384615384615,0.6923076923076923,0.9,0.1951219512195122,0.1428571428571428
Home,116,118,-2,73,56,17,38,44,26,24,12,4,0.8421052631578947,0.5909090909090909,45,43,12,7,0.2666666666666666,0.1627906976744186,7,7,15,6,0.5833333333333334,0.35,0.75,0.5,0.1555555555555555,0.2790697674418604
Away,122,112,10,58,62,-4,47,44,24,20,5,7,0.5638297872340425,0.5340909090909091,43,50,6,7,0.1395348837209302,0.14,3,10,17,21,0.1304347826086956,0.4166666666666667,0.7083333333333334,0.9130434782608696,0.1627906976744186,0.12
Home,95,109,-14,52,53,-1,48,52,22,20,3,7,0.4895833333333333,0.4519230769230769,49,47,7,6,0.1428571428571428,0.1276595744680851,10,9,23,19,0.3846153846153846,0.28125,0.71875,0.7307692307692307,0.1224489795918367,0.1489361702127659
Away,124,115,9,59,65,-6,51,45,22,23,4,7,0.4705882352941176,0.5888888888888889,47,48,7,9,0.1489361702127659,0.1875,12,9,16,22,0.4137931034482758,0.4090909090909091,0.7272727272727273,0.7586206896551724,0.1914893617021276,0.1458333333333333
Home,106,119,-13,57,64,-7,46,44,21,23,5,4,0.5108695652173914,0.5681818181818182,43,47,7,6,0.1627906976744186,0.1276595744680851,7,8,15,19,0.28,0.3809523809523809,0.7142857142857143,0.76,0.1395348837209302,0.1489361702127659
